start_date,end_date,title_ja,title_en,event_ja,event_en
2023/7/25,2023/7/28,"HCI INTERNATIONAL 2023において口頭発表をしました．タイトルは""CallMap: A Multi-dialogue Participative Chatting Environment Based on Participation Structure""．また同会において共著で発表",Presented orally at HCI INTERNATIONAL 2023 held in Copenhage...,"コペンハーゲン（デンマーク）で開催されたHCI INTERNATIONAL 2023において口頭発表をしました．タイトルは""CallMap: A Multi-dialogue Participative Chatting Environment Based on Participation Structure""．また同会において共著でポスター発表をしました．","Presented orally at HCI INTERNATIONAL 2023 held in Copenhagen (Denmark). The title is ""CallMap: A Multi-dialogue Participative Chatting Environment Based on Participation Structure."" Also presented a poster as a co-author at the same event."
2023/3/4,2023/3/5,対外発表,Presented at the HAI Symposium 2023,静岡大学浜松キャンパスで開催されたHAIシンポジウム2023において学生スタッフを務めました．,Served as a student staff at the HAI Symposium 2023 held at Shizuoka University Hamamatsu Campus.
2023/3/1,2023/3/1,対外発表,Website Updated,電子情報通信学会和文論文誌（A）に論文が掲載されました．タイトルは「エージェントの援助に対する人の返報行動に立脚したHAIデザイン」．,"Paper published in IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences (Japanese Edition). The title is ""HAI Design Based on People's Reprisal Behavior to Agents Assist."""
2023/1/21,2023/1/21,対外発表,Presented at the Human Communication Society (HCS) Research Meeting in January 2023,京都工芸繊維大学（京都市）で開催されたヒューマンコミュニケーション基礎（HCS）研究会2023年1月研究会において表彰式に参加し，2022年度HCS研究会賞を受賞しました．,Attended the award ceremony at the Human Communication Society (HCS) Research Meeting in January 2023 held at Kyoto Institute of Technology (Kyoto City) and won the 2022 HCS Workshop Award.
2022/11/5,2022/11/5,学位を取得しました,Made a speech to 3rd-grade junior high school students and t...,母校である常葉大学附属橘高等学校の英数科説明会で登壇し，卒業生として中学校3年生とその保護者に対してプレゼンテーションをしました．,Made a speech to 3rd-grade junior high school students and their parents at the Tachibana High School as a graduate.
2022/9/11,2022/9/13,対外発表,Presented at the 21st Cognitive Communication Workshop,KKR沼津はまゆう（沼津市）で開催された第21回認知的コミュニケーションワークショップにおいて研究成果の発表をしました．また同会の幹事を務めました．,Presented research results at the 21st Cognitive Communication Workshop held at KKR Numazu Hamayu (Numazu City). Also served as the organizer of the event.
2022/7/28,2022/7/31,対外発表,Presented orally at Human-System Interaction 2022 (HSI2022) ...,"メルボルン（オーストラリア）で開催されたHuman-System Interaction 2022（HSI2022）において口頭発表をしました．タイトルは""Perception of Supporting Agents Based on the Cognitive Responses of Recipients in a Helping Situation""．","Presented orally at Human-System Interaction 2022 (HSI2022) held in Melbourne (Australia). The title is ""Perception of Supporting Agents Based on the Cognitive Responses of Recipients in a Helping Situation."""
2022/4/1,2022/4/1,大学院に入学しました,Started Graduate School,静岡大学大学院総合科学技術研究科に入学しました．,"Enrolled in the Graduate School of Integrated Science and Technology, Shizuoka University."
2022/3/17,2022/3/17,学位を取得しました,Degree Awarded,アクトシティ浜松（浜松市）で開催された令和3年度静岡大学学位記授与式に参加しました．静岡大学情報学部情報科学科を卒業し，学士（情報学）を取得しました．,"Participated in the 2022 Shizuoka University Degree Conferral Ceremony held at Act City Hamamatsu (Hamamatsu City). Graduated from the Department of Informatics, Faculty of Informatics, Shizuoka University, and obtained a Bachelor's degree of Informatics."
2022/3/11,2022/3/12,対外発表,Presented at the Human Communication Society (HCS) Research Meeting on March 2022,オンラインで開催されたヒューマンコミュニケーション基礎（HCS）研究会2022年3月研究会において口頭発表を行いました．タイトルは「グラフ理論に基づく対話構造に立脚した遠隔対話システムデザインの提案」．,"Presented orally at the Human Communication Society (HCS) Research Meeting on March 2022 held online. The title is ""Design Proposal for a Telecommunication System Based on Dialogue Structure Applying Graph Theory."""
2022/2/4,2022/2/4,対外発表,Presented research results at the online graduation research...,オンラインで卒業研究の発表会が実施され，研究成果を発表しました．タイトルは「グラフ理論に基づくオンラインコミュニケーション量子化の試み」．,"Presented research results at the online graduation research presentation. The title is ""Attempt at Quantization of Online Communication Based on Graph Theory."""
2021/11/9,2021/11/11,対外発表,Presented orally at Human-Agent Interaction 2021 (HAI2021) h...,"オンラインで開催されたHuman-Agent Interaction 2021（HAI2021）において口頭発表をしました．タイトルは""Proposing an Inferential Model for Indebtedness Arising from Agents' Helping Behavior Using Bayesian Model""．","Presented orally at Human-Agent Interaction 2021 (HAI2021) held online. The title is ""Proposing an Inferential Model for Indebtedness Arising from Agents' Helping Behavior Using Bayesian Model."""
2021/11/6,2021/11/6,学位を取得しました,Made a speech to 3rd-grade junior high school students and t...,母校である常葉大学附属橘高等学校の英数科説明会で登壇し，卒業生として中学校3年生とその保護者に対してプレゼンテーションをしました．,Made a speech to 3rd-grade junior high school students and their parents at the Tachibana High School as a graduate.
2021/9/27,2021/9/29,対外発表,Presented at the 20th Cognitive Communication Workshop,アクトシティ浜松研修交流センター（浜松市）で開催された第20回認知的コミュニケーションワークショップにおいて研究構想の発表をしました．,Presented research concepts at the 20th Cognitive Communication Workshop held at Act City Hamamatsu Training Center (Hamamatsu City).
2021/3/9,2021/3/10,対外発表,Presented at the HAI Symposium 2021,オンラインで開催されたHAIシンポジウム2021においてポスター発表をしました．タイトルは「エージェントの援助行動による被援助感を低減するインタラクションデザイン」．,"Presented a poster at the HAI Symposium 2021 held online. The title is ""Interaction Design for Reducing Indebtedness through Agents Assist."""
2020/10/17,2020/10/18,対外発表,Website Updated,オンラインで開催されたヒューマンインタフェースサイバーコロキウム（HIC2）においてポスター発表をしました．タイトルは「エージェントとのインタラクションにおいて互恵性を有効に利用するための援助行動のデザイン」．,"Presented a poster at the Human Interface Cyber Colloquium (HIC2) held online. The title is ""Efficacious Interaction Design for Managing Reciprocal Behavior through Agent's Support."""
2019/12/24,2019/12/24,対外発表,Presented at the Information Symposium 2019,静岡大学浜松キャンパスで開催された情報学シンポジウム2019においてポスター発表をしました．タイトルは「自他の作業者特性が作業パフォーマンスに及ぼす影響の調査（実習の構想発表）」．,"Presented a poster at the Information Symposium 2019 held at Shizuoka University Hamamatsu Campus. The title is ""Investigation of the Influence of Workers' Characteristics on Working Performance (Presentation of the Concept of Practice)."""
2018/12/22,2018/12/22,対外発表,Presented at the Information Symposium 2018,静岡大学浜松キャンパスで開催された情報学シンポジウム2018においてポスター発表をしました．タイトルは「モニタリング社会との共生（実習の進捗発表）」．,"Presented a poster at the Information Symposium 2018 held at Shizuoka University Hamamatsu Campus. The title is ""Coexistence with Monitored Society (Presentation of the Progress of Practice)."""
2018/4/4,2018/4/4,大学院に入学しました,Started Graduate School,グランシップ（静岡市）で開催された平成30年度静岡大学入学式に参加しました．静岡大学情報学部情報科学科に入学しました．,"Attended the 2018 Shizuoka University Entrance Ceremony held at Grand Ship (Shizuoka City). Enrolled in the Department of Informatics, Faculty of Informatics, Shizuoka University."
